,design,system design,development,analysis,concept design,knowledge engineering,processing,review,system integration,evaluation,product design,detailed,information search,product support,engine analysis,knowledge management,manufacturing,optimization,creation,check,reasoning,system specification,training,decision support,failure,acquisition,product data management,knowledge capture,link analysis,detailed design,inference,manufacture,knowledge interaction,navigation,semantic representation,information classification,data validation,knowledge based engineering,resource description,system identification,data storage,information sharing,knowledge classification,mission analysis,scheduling,access product design data,configuration management,certification,test report,data visualization,knowledge base building,feature processing,archive,preliminary design,solving,project planning,system synthesis,dissemination,knowledge storage,ontology modeling,flight test,express ontology,plm,failure management,ground test,disciplinary analysis,life cycle simulation,business process integration,knowledge exploration,design space visualization,product verification,general assembly,conceptual modelling,multidisciplinary modeling,problem solving,workflow management,knowledge discovery,ontological engineering,mdao,calculation report,customer service,automated reasoning,authoring,system arch,context inference,information clustering,flight test report,recycling,information push,tooling development,nation decision,manufacturing preparation,alm,share documents,analyzing,structural solver,generate fem model,crawling,summarizing,enterprise resource planning,mdo process formulation,design blueprint,physical sensing,semantic lexicon,airworthiness test,system architecting,design concepts formalization,convert file formats,digital mockup,issue tc pc ac certification,processe data,access,word,expert systems,api,product data management system,express application,share point,excel,google,matlab,protégé,data mining,catia,eclipse,reasoner,tr,java application,learning tools,file server,web server,outlook,workflow systems,wikipedia,solidworks,oracle,rce,optimus,modelcenter,python application,visualization package,cad programming interface,sas,sumo,tigl,brics,flops,aaa,isight,tixi,spss,openmdao,ceasiom,tornado,git,ideas,prado,cloud visualization,imagenet,triple store,ug,networkx,syndeia,jade,fortran application,oracle server,whatsopt,janus,multilinq,proteus,texttoonto,pykechain,semsearch,brics technology,saxon,fsms,cfview,vivisimo,solidedge,mopcssoviz,daedalus,kaon,davetools,pest,description,knowledge base,system definition,material,ontology,difficulty,knowledge graph,cad,section description,image,quantity,taxonomy,metadata,manufacturing method,video,cad representation,audio,measurement data,design parts,documents,business logic,animation,mind map,bom,forms,explicit geometry,word doc,object definitions,sysml model,process definitions,assemblies,freebase,capp,images,external web page,cfd simulation data,tooling parts,cfd code,lexical data,tools needed,babelnet,implicit geometry,live video,ikewiki,animations,sweetwiki,express,uml,python,aerospace ontology,sql,sysml,sparql,owl dl,vba,wordnet,nosql,cmdows,kadmos,postgresql,rds,bfo,openvsp,cypher,xquery,nasa taxonomy,codex,mdax,rvf,cco,vampzero,topic maps,fortan,dtad,multiwordnet,serql,addam,yawl,step,database,add,xml,owl,rdf,html,pdf,json,direct api,cpacs,ms word,iges,csv,vrml,soap,flash,ms excel,stl,dxf,jpeg,txt,mpeg,parasolid,acis,gif,igs,png,postscript,mov,jpg,dwf,flat file,jpgs,dwg,tiff,wmv,wav,wrp
product design,122,121,120,118,111,100,96,98,96,97,122,90,90,106,90,85,87,85,78,80,68,73,70,74,64,62,74,66,58,57,52,59,51,50,45,44,42,45,40,43,41,43,40,42,39,46,40,35,33,36,32,35,33,33,28,21,28,25,25,22,22,22,26,21,20,21,22,20,20,19,21,19,17,16,15,15,12,13,10,11,9,9,7,6,6,5,5,7,5,6,5,5,5,3,3,2,3,3,3,2,0,2,2,2,1,1,1,1,1,1,1,110,84,70,54,66,45,37,35,29,30,24,22,23,24,17,15,20,19,18,19,17,15,14,12,12,12,8,8,8,7,9,7,7,6,6,6,4,5,5,5,4,6,5,5,4,2,3,3,1,3,1,3,3,2,2,2,2,2,1,1,2,2,1,0,1,1,1,1,1,1,0,1,1,109,105,90,86,71,62,59,60,55,51,53,42,38,47,37,29,20,22,21,22,17,11,10,10,9,9,6,6,6,6,4,3,4,4,3,3,3,2,2,2,1,1,1,1,1,1,87,38,34,27,21,26,15,11,10,8,6,7,6,6,4,5,5,4,4,4,2,2,2,1,1,1,0,1,0,0,1,0,115,106,103,81,45,32,30,25,16,18,17,14,10,7,8,6,8,5,4,3,4,4,3,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1
detailed,119,117,115,115,106,96,97,93,92,91,90,119,90,85,87,80,78,86,77,84,66,67,66,64,61,62,55,55,55,72,50,57,47,52,45,47,47,42,41,40,44,37,39,40,40,34,36,41,32,40,34,32,30,33,31,21,26,26,23,24,21,24,23,17,21,23,21,20,21,19,16,17,14,18,16,15,14,12,12,10,9,9,8,9,5,5,3,5,5,6,6,5,5,3,3,3,3,3,3,1,2,2,2,2,0,1,1,0,0,0,1,111,72,62,65,48,42,37,35,27,32,18,20,23,24,16,18,18,19,18,18,19,17,15,12,13,13,11,9,9,6,6,8,7,8,6,6,7,6,6,5,6,6,6,5,4,5,4,3,3,2,3,2,3,2,1,2,0,2,2,0,2,1,1,1,1,1,1,1,1,1,0,0,1,105,103,86,87,69,64,63,57,54,47,51,41,42,35,33,23,21,21,22,23,13,13,10,11,8,7,7,6,5,6,5,4,4,4,3,3,3,2,0,2,1,1,0,1,1,1,90,40,40,27,27,23,20,14,12,7,6,8,8,5,6,3,6,3,5,4,3,2,2,0,2,1,1,1,0,1,1,1,113,102,103,82,45,33,29,21,19,18,20,13,11,11,7,7,7,3,3,3,3,3,3,4,2,1,2,2,1,1,0,1,1,0,0,0,0,0,0
information search,117,115,115,113,103,98,97,93,88,94,90,90,118,84,90,83,77,80,79,75,75,65,68,66,62,63,57,61,56,55,62,54,50,51,52,47,39,40,40,40,35,40,42,37,38,36,31,36,34,32,35,33,36,30,34,25,24,27,20,24,24,26,20,23,23,17,20,21,22,16,17,15,14,13,17,11,15,14,8,8,8,9,10,9,9,7,7,7,6,5,6,4,4,4,3,1,2,3,1,1,1,2,2,2,1,1,1,1,1,1,1,109,82,64,57,53,44,41,35,32,28,23,23,19,20,19,18,16,19,16,16,17,14,17,13,12,7,6,8,8,6,5,9,8,5,4,7,6,4,3,6,3,4,4,5,4,4,4,4,3,2,1,3,1,2,2,1,0,1,1,2,1,2,1,1,1,1,1,1,0,1,1,0,1,105,105,81,81,79,63,63,52,49,56,51,46,43,37,42,23,25,22,18,25,16,13,10,9,8,7,7,6,5,6,3,4,5,4,3,3,2,2,2,2,2,1,1,1,0,1,88,41,32,31,26,22,24,15,10,10,7,5,4,8,5,5,4,5,5,4,3,1,1,1,0,1,1,1,1,1,1,1,110,107,97,73,52,40,35,30,22,18,11,14,8,11,6,9,8,4,4,2,4,4,4,3,2,3,3,3,2,2,2,2,1,1,1,1,1,1,1
product support,114,114,112,111,100,94,91,93,89,89,106,85,84,114,84,81,79,77,70,78,65,69,64,66,65,60,72,58,54,50,49,55,46,47,42,39,40,40,40,40,39,41,36,38,36,42,37,33,31,31,33,35,32,31,27,23,24,25,23,23,21,19,23,21,21,19,21,21,20,15,20,19,14,14,15,13,11,12,9,11,9,9,6,5,7,6,5,5,5,6,6,5,5,2,3,2,3,3,3,2,0,2,2,2,1,0,1,1,1,1,1,103,77,66,51,64,43,36,30,26,27,20,18,18,22,15,14,18,18,17,18,17,14,13,13,8,11,8,5,7,5,9,7,7,6,6,4,4,3,4,5,3,5,5,3,4,2,2,4,2,2,1,1,3,1,2,2,2,2,1,1,2,2,1,0,0,1,1,1,1,1,1,1,1,99,97,83,78,63,59,54,55,49,50,51,40,36,44,35,28,22,23,20,19,16,12,10,11,10,8,6,5,5,5,4,4,4,5,3,3,3,2,1,2,2,1,1,1,1,1,82,34,35,23,18,21,13,12,10,8,6,7,6,5,3,4,4,3,3,4,3,2,2,2,1,1,0,0,1,0,0,0,108,99,96,73,39,29,30,22,16,15,17,14,10,8,8,5,8,5,3,4,4,4,3,4,3,3,3,1,1,2,2,1,1,1,1,1,1,1,1
engine analysis,113,112,111,113,104,96,97,89,85,93,90,87,90,84,113,85,76,76,80,73,67,62,68,69,60,60,55,59,59,56,57,52,46,51,44,44,43,41,40,42,36,43,39,42,38,34,34,36,32,30,32,35,30,29,32,26,26,25,24,21,24,23,22,22,23,22,21,18,20,15,19,16,17,16,18,13,14,13,9,10,8,10,8,7,8,7,5,5,6,6,5,3,3,3,3,3,3,3,1,2,2,2,2,2,1,1,1,1,1,1,1,105,82,64,51,51,48,39,33,30,29,22,23,23,23,21,19,17,20,16,13,20,15,14,10,12,11,7,11,9,5,7,8,9,7,6,7,7,7,5,5,5,6,6,5,5,5,4,4,3,2,2,3,2,2,1,2,2,2,2,2,2,2,1,1,0,1,1,1,0,1,1,1,1,102,101,85,80,72,61,55,52,52,51,56,45,41,38,39,24,22,23,21,18,15,13,10,7,8,8,7,5,6,5,4,2,4,2,3,3,3,2,2,2,2,1,1,1,0,1,88,39,33,28,23,23,22,14,9,9,8,6,5,7,6,5,6,5,4,4,3,2,2,1,2,1,1,1,1,1,1,0,105,99,100,77,45,37,32,28,19,18,17,14,8,10,7,6,7,4,4,3,4,4,4,4,2,3,3,2,2,2,2,2,1,1,1,1,1,1,1
knowledge management,108,108,106,106,95,100,90,85,84,88,85,80,83,81,85,108,73,75,75,69,64,59,61,71,60,61,60,65,58,50,55,49,54,45,46,46,36,46,38,41,36,46,44,39,39,34,34,33,33,32,33,35,34,27,29,22,24,28,28,25,22,23,21,23,20,22,21,20,22,17,16,15,16,15,18,12,14,15,10,9,8,10,8,8,8,8,6,5,6,5,5,5,3,4,2,1,1,3,2,2,2,2,2,2,1,0,1,1,1,1,0,99,74,70,49,55,49,38,30,27,25,21,23,16,20,18,18,16,20,16,16,19,13,15,11,9,9,10,8,6,6,8,6,8,6,5,4,7,6,5,5,5,4,4,4,5,5,4,3,3,1,3,2,1,0,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,96,105,73,72,66,59,59,47,49,48,51,39,35,37,38,25,23,20,20,22,17,14,12,8,7,7,7,5,4,4,4,4,3,2,3,2,3,1,2,2,2,0,1,1,1,1,83,34,27,27,24,21,21,12,10,8,7,6,5,8,5,5,4,4,3,3,3,1,1,2,2,1,1,1,1,1,0,0,100,95,90,64,42,35,33,27,15,17,14,15,5,6,8,4,7,3,3,3,4,4,4,3,2,3,3,1,1,2,2,2,1,1,1,1,1,1,1
manufacturing,106,105,105,102,94,84,84,88,82,90,87,78,77,79,76,73,106,74,68,67,70,60,64,59,61,59,54,55,46,51,50,66,45,41,41,40,42,39,34,42,39,41,37,30,35,32,34,35,25,33,29,26,29,26,24,23,22,23,24,23,18,21,26,19,15,15,20,19,16,13,16,15,14,14,11,13,12,12,8,8,8,9,7,8,6,6,4,7,4,6,6,5,5,3,3,2,3,3,2,2,0,2,2,2,0,1,1,1,0,0,1,95,76,55,49,47,42,30,32,27,28,19,21,24,18,16,19,15,18,15,17,15,13,14,16,13,9,4,9,6,5,8,8,7,6,6,7,6,5,4,5,3,3,5,3,3,4,3,3,3,3,1,3,3,2,1,2,1,2,2,2,1,2,1,1,1,0,1,1,1,1,1,0,1,97,89,74,86,68,59,54,66,54,47,46,40,36,49,36,29,19,20,19,21,15,11,9,12,8,7,7,6,3,5,5,4,5,5,2,3,3,2,0,2,2,1,1,1,1,1,79,38,26,23,21,21,17,11,10,6,7,5,4,4,5,5,3,4,2,3,2,2,2,1,0,1,1,1,1,1,1,0,98,89,81,69,44,32,29,25,13,17,12,12,12,8,10,5,6,4,5,4,4,3,4,4,3,2,3,2,2,2,1,2,1,1,1,1,1,1,1
optimization,105,103,103,102,90,83,84,85,80,84,85,86,80,77,76,75,74,105,69,72,59,57,62,60,57,49,58,50,49,53,47,53,42,40,37,36,41,42,32,41,41,36,32,35,40,30,35,35,30,35,29,27,29,28,27,23,27,22,24,22,20,22,24,20,16,19,19,20,15,15,15,16,16,18,14,16,8,11,13,9,8,8,5,6,5,4,4,4,5,6,6,4,4,3,3,3,3,3,3,1,2,2,2,2,0,1,1,1,0,0,1,95,68,56,52,52,41,35,33,25,32,19,21,22,20,14,18,16,14,18,18,17,16,15,11,12,14,12,10,8,6,7,8,7,8,7,7,7,6,6,5,6,6,6,5,3,5,3,3,2,2,3,2,3,2,2,2,0,2,2,1,2,1,1,0,0,1,1,1,1,1,0,0,1,94,93,71,75,61,57,55,58,51,44,49,35,29,36,31,26,19,17,21,18,14,11,10,10,5,7,7,6,2,6,3,3,5,4,3,3,3,2,1,2,1,1,1,1,1,1,73,30,35,22,25,21,16,8,12,5,8,9,8,8,6,4,6,4,4,3,3,2,2,0,2,1,1,1,0,0,1,1,100,94,86,73,35,28,25,23,18,15,21,12,8,10,7,7,6,5,5,3,4,3,3,4,2,2,3,1,2,2,1,2,1,1,1,1,1,1,1
creation,101,99,101,98,91,85,87,82,81,82,78,77,79,70,80,75,68,69,102,69,60,56,59,62,50,59,49,55,49,51,52,48,46,42,41,42,36,41,37,42,35,37,40,36,35,30,31,29,31,31,37,36,30,27,29,20,26,26,20,23,24,21,23,20,14,23,21,19,19,16,18,13,16,16,16,12,13,10,10,7,7,10,9,8,9,6,6,6,5,6,5,3,3,3,3,3,2,3,0,2,2,2,2,1,1,0,1,1,1,1,0,97,68,55,54,47,43,39,28,28,27,18,24,23,20,18,16,17,19,16,14,17,15,15,12,11,11,9,11,7,6,8,8,8,6,5,5,6,7,5,6,5,5,4,6,4,4,4,3,3,2,2,3,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,94,93,71,73,66,58,57,53,50,49,48,42,42,34,38,24,24,20,20,21,14,14,11,8,6,7,7,4,4,5,4,2,4,4,3,3,3,2,1,2,2,1,1,1,0,1,83,35,31,23,20,18,21,9,9,7,9,7,6,6,4,5,4,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,95,91,86,69,43,35,34,27,21,17,14,9,9,9,8,8,8,3,4,3,4,3,4,4,2,3,3,3,2,2,2,2,1,1,1,1,1,1,1
check,100,98,98,95,90,80,79,83,81,82,80,84,75,78,73,69,67,72,69,100,60,53,57,59,57,54,52,51,52,48,47,48,41,43,37,42,39,37,32,42,36,31,36,36,34,32,32,34,28,32,30,32,30,33,27,20,22,19,19,20,21,19,18,16,19,18,22,18,18,13,17,16,13,15,16,14,11,7,10,9,9,10,6,8,7,5,3,5,5,6,6,5,4,3,3,3,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,93,67,57,48,48,41,34,30,21,29,18,17,22,21,15,14,19,18,16,14,17,14,12,10,9,12,10,9,10,7,6,9,6,8,6,4,7,6,6,6,5,4,6,5,3,5,3,3,3,2,3,2,2,2,1,2,1,2,2,0,2,2,1,0,1,0,1,1,0,1,0,0,1,90,85,73,74,58,57,55,49,46,43,48,37,34,32,30,21,20,20,22,19,12,11,9,11,8,8,7,4,6,5,5,4,4,5,3,3,3,2,1,2,1,1,1,1,1,1,75,31,36,20,21,20,16,10,12,5,5,7,7,5,4,4,5,3,3,3,2,2,2,1,2,1,1,0,0,0,1,1,96,87,88,65,37,28,23,26,14,17,18,14,10,8,6,4,9,4,4,4,4,3,3,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1
reasoning,92,91,91,90,85,80,79,74,70,76,68,66,75,65,67,64,70,59,60,60,92,47,57,54,51,51,42,54,44,39,59,47,42,35,43,37,31,35,35,34,24,37,35,26,33,27,22,22,26,25,31,25,20,24,28,18,19,19,17,24,14,22,17,15,13,14,15,15,17,11,14,12,13,12,14,10,13,12,3,3,7,10,6,7,8,6,3,4,4,5,5,4,3,3,3,2,1,3,1,2,1,1,2,2,0,1,1,1,0,0,1,85,68,54,42,37,38,30,27,23,21,21,20,17,14,22,16,14,17,8,11,14,12,11,10,7,2,4,6,5,4,5,5,5,3,1,4,5,4,1,3,4,1,2,3,3,4,3,3,3,1,2,2,2,1,0,0,1,0,1,2,0,1,0,1,1,0,1,0,0,1,1,0,0,84,86,63,70,74,51,52,45,41,44,43,48,30,35,29,22,16,17,13,19,14,8,9,10,7,8,7,3,4,3,4,5,5,5,2,2,2,1,0,2,2,1,1,1,0,1,72,38,23,27,20,14,22,14,6,8,6,1,1,6,3,6,4,4,2,4,2,0,0,2,1,1,1,0,1,1,0,1,83,79,71,55,47,37,25,25,15,14,6,11,8,6,6,3,5,2,3,3,3,4,4,3,3,2,3,1,1,2,1,1,0,1,1,1,1,1,1
system specification,87,86,86,84,80,69,70,72,77,68,73,67,65,69,62,59,60,57,56,53,47,87,44,49,46,41,50,47,53,50,40,44,36,36,30,38,34,30,35,28,39,35,33,31,27,37,30,25,29,28,27,28,22,23,22,21,26,19,23,21,16,17,18,15,14,20,17,18,15,15,17,14,12,15,15,11,9,8,11,8,8,9,5,4,6,6,4,3,4,6,4,4,3,2,1,1,2,0,1,2,1,2,1,1,1,0,1,1,1,1,1,84,58,48,40,45,38,29,26,19,21,14,14,14,18,13,14,15,17,15,17,10,12,6,9,9,13,10,9,7,7,7,2,7,7,6,6,3,6,6,3,4,4,2,5,3,2,2,3,1,1,2,3,1,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,79,76,72,62,55,42,48,43,40,33,37,35,27,35,29,23,17,22,15,12,10,9,9,5,6,7,5,5,6,4,4,1,4,1,3,2,3,2,1,1,1,1,1,0,0,0,66,36,25,17,18,21,12,11,6,6,4,8,7,3,3,4,4,4,3,3,2,1,1,2,1,1,0,1,1,0,1,0,80,75,74,64,33,25,23,17,12,15,15,11,8,6,9,6,5,4,5,3,2,2,3,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1
training,87,86,87,83,78,70,77,77,67,76,70,66,68,64,68,61,64,62,59,57,57,44,87,51,54,52,40,49,37,42,46,45,43,42,31,42,31,33,33,35,25,25,36,30,34,25,25,29,25,25,28,26,27,23,23,21,19,21,16,15,20,15,19,17,16,13,16,14,14,12,14,12,14,11,13,11,11,10,4,7,8,8,9,6,8,7,5,4,4,5,6,4,5,1,4,1,2,3,2,2,0,2,2,1,1,1,1,1,1,1,0,80,68,50,42,37,35,31,28,25,28,12,21,16,20,14,15,11,18,12,10,16,12,13,10,6,5,3,7,6,5,6,8,8,4,2,5,6,4,3,6,3,3,5,5,3,4,3,4,2,0,1,2,2,2,0,0,2,0,1,2,0,2,0,1,1,0,1,1,0,1,1,1,1,83,76,61,64,52,57,49,41,43,49,45,36,30,32,36,17,21,20,15,17,12,11,10,10,8,9,7,4,1,4,3,2,5,5,2,3,2,2,1,2,2,1,1,1,1,1,71,29,28,17,19,15,14,11,9,6,5,1,1,5,4,5,3,5,2,4,2,0,0,1,1,1,1,1,1,1,1,0,84,78,73,54,33,25,26,26,18,16,6,13,10,8,4,3,7,4,4,3,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1
decision support,86,86,85,85,80,78,72,74,68,74,74,64,66,66,69,71,59,60,62,59,54,49,51,86,43,49,48,54,47,39,44,45,45,40,39,42,33,40,36,42,28,32,36,36,31,32,28,27,28,28,30,34,24,24,24,22,19,22,20,22,19,20,18,15,15,20,19,14,20,15,17,13,16,15,15,9,12,12,5,10,9,10,6,7,6,4,4,6,4,6,5,3,3,3,1,2,2,3,2,2,1,2,2,1,1,1,1,1,1,1,0,81,62,58,37,45,41,34,28,25,17,20,21,14,20,14,10,16,18,10,10,14,9,13,10,6,4,5,5,5,5,6,4,6,2,1,1,5,5,1,4,3,2,2,4,4,3,3,2,3,2,2,3,1,0,0,1,1,1,0,1,0,2,1,0,1,1,1,1,1,1,0,0,1,79,81,59,64,61,52,50,41,44,48,36,33,30,34,31,22,18,19,17,16,14,13,10,7,6,6,6,4,5,4,3,4,5,3,3,2,3,1,1,2,1,0,1,1,1,1,69,36,21,23,15,21,14,8,6,6,5,2,2,5,2,5,3,3,3,2,3,1,1,1,1,1,0,1,0,0,0,0,81,74,72,56,37,28,26,21,12,14,8,10,5,5,8,4,7,4,4,3,4,3,3,4,2,3,3,1,1,2,2,2,1,1,1,1,1,1,1
failure,84,82,84,82,70,63,70,71,64,70,64,61,62,65,60,60,61,57,50,57,51,46,54,43,84,45,41,40,39,38,37,41,34,39,29,31,31,30,31,30,27,26,27,29,33,23,21,31,22,21,20,20,21,26,23,20,18,18,13,15,17,13,18,27,17,10,11,12,10,9,14,10,8,7,13,7,7,7,4,5,7,5,5,4,3,8,6,6,5,3,6,3,4,1,3,1,3,2,1,1,1,2,1,2,1,0,0,0,1,1,0,76,56,45,41,35,33,25,25,25,28,10,16,13,12,9,16,14,12,13,11,12,9,11,9,9,4,4,7,8,4,4,7,3,3,3,7,3,3,2,6,3,3,5,3,2,3,2,3,2,2,2,2,2,2,2,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,77,69,55,60,44,45,36,40,40,43,41,31,25,29,30,17,18,15,15,18,9,8,8,7,7,5,5,7,3,6,2,3,4,4,2,2,0,2,1,2,1,1,0,0,1,0,64,27,29,16,17,19,9,7,8,4,7,2,1,4,6,3,2,4,2,4,1,0,0,2,0,1,1,0,1,0,1,1,78,74,72,50,23,20,20,19,13,14,8,10,6,8,3,3,7,2,2,2,2,3,1,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0
acquisition,78,77,79,77,70,65,68,68,56,65,62,62,63,60,60,61,59,49,59,54,51,41,52,49,45,79,39,48,36,38,42,46,36,39,34,34,33,32,28,35,24,31,30,26,28,24,22,30,24,20,25,25,29,22,22,16,18,23,16,17,17,18,18,17,20,15,15,16,14,8,12,10,13,9,10,8,10,9,4,7,5,8,7,7,7,4,5,5,4,6,5,3,5,3,3,1,2,1,0,2,0,2,2,1,1,0,1,0,1,1,0,75,57,46,37,35,33,26,24,18,23,17,15,16,13,12,16,12,14,9,6,14,8,11,14,7,3,4,4,4,3,3,7,5,2,0,4,5,2,1,6,1,3,4,4,4,4,2,4,2,1,1,1,0,1,0,0,1,0,0,2,0,2,0,1,1,1,1,1,0,1,1,0,1,72,70,53,56,48,48,38,39,41,34,36,27,25,29,28,16,17,17,15,18,11,10,12,7,6,6,5,4,4,5,4,2,3,4,2,1,3,1,1,1,2,0,0,1,0,1,63,31,19,20,15,14,14,12,10,7,5,1,1,3,5,3,2,2,1,3,3,0,0,1,0,1,1,0,1,1,1,0,73,65,63,46,34,25,22,23,10,12,5,9,9,7,5,3,5,3,2,2,3,2,2,3,2,2,2,3,1,1,1,1,1,0,0,0,0,0,0
product data management,77,76,76,75,68,62,61,62,63,62,74,55,57,72,55,60,54,58,49,52,42,50,40,48,41,39,77,43,39,35,33,36,33,32,31,25,31,32,27,27,31,29,25,26,26,37,34,25,25,23,22,27,22,20,19,15,17,13,18,19,18,15,17,17,18,16,17,18,12,9,19,17,10,12,11,15,6,11,8,8,7,7,3,3,4,4,4,4,4,5,5,4,3,3,3,1,2,1,2,2,0,2,0,2,1,0,1,1,1,1,0,69,50,46,33,69,34,25,19,19,18,15,14,12,18,14,11,14,13,14,14,11,13,9,7,7,10,7,4,6,5,7,5,6,4,6,2,3,2,4,4,4,3,5,3,3,1,2,2,1,2,1,0,2,1,2,2,2,2,1,1,2,0,1,0,0,1,0,1,1,0,0,1,1,67,64,57,53,45,42,37,36,34,31,37,25,23,33,23,22,14,17,15,15,12,6,6,8,3,6,2,6,5,5,3,2,2,4,2,2,3,1,2,2,0,0,1,0,0,0,57,26,23,19,14,18,11,8,5,5,5,6,5,6,0,4,3,1,1,1,2,2,2,1,0,1,0,0,0,0,1,0,71,68,64,55,29,22,19,16,10,11,12,10,5,6,7,4,7,5,3,3,4,2,3,2,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1
knowledge capture,76,76,75,76,73,73,64,63,59,65,66,55,61,58,59,65,55,50,55,51,54,47,49,54,40,48,43,76,39,30,46,36,41,31,36,38,24,37,31,35,21,36,34,27,26,26,22,25,20,21,30,29,22,22,25,14,22,19,19,21,15,20,15,13,12,17,15,14,17,9,12,10,16,12,15,9,12,10,5,6,6,9,8,7,7,6,4,4,4,5,4,3,5,4,3,1,0,1,1,2,1,2,2,1,1,1,1,1,1,1,0,73,59,53,29,38,35,25,25,20,18,14,18,14,15,15,11,10,17,7,8,13,9,11,8,7,3,4,5,4,6,4,6,6,1,0,4,5,4,1,6,3,1,1,4,4,4,3,3,2,0,2,2,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,1,0,1,1,0,1,66,75,56,55,52,47,47,33,31,35,36,33,25,33,27,17,17,20,13,16,13,8,10,7,4,6,5,3,4,2,3,2,2,4,2,1,3,1,2,1,2,0,1,1,0,1,62,28,18,20,13,17,15,9,6,8,4,1,1,4,4,5,3,4,1,2,1,0,0,1,1,1,1,1,1,0,0,0,70,62,63,43,36,25,21,22,11,11,5,12,8,5,5,3,5,3,3,4,4,2,3,2,3,3,2,1,1,2,2,1,1,1,1,1,1,1,1
link analysis,75,75,74,75,70,64,61,60,62,58,58,55,56,54,59,58,46,49,49,52,44,53,37,47,39,36,39,39,75,43,39,31,31,31,24,31,32,28,30,31,30,28,30,29,27,30,29,18,24,22,27,28,17,26,20,15,26,14,19,16,15,14,12,16,18,18,15,14,14,13,17,9,11,15,12,12,9,7,9,6,9,8,6,4,6,4,4,3,5,5,3,3,2,4,1,2,2,2,1,2,2,2,1,1,1,1,1,0,1,1,1,74,51,47,34,35,37,31,20,20,15,17,14,11,13,14,10,15,15,12,15,9,12,7,7,5,10,10,7,6,6,8,1,8,5,6,2,3,6,4,3,4,3,2,3,1,2,2,2,2,1,3,1,0,0,1,1,1,1,1,2,1,2,1,0,0,1,1,1,1,1,1,0,1,69,69,59,49,53,36,46,35,37,34,30,31,22,24,25,15,18,16,18,13,9,10,6,3,6,6,4,4,4,3,2,4,4,0,3,1,2,1,2,2,2,0,0,1,0,1,57,26,21,18,15,17,18,10,7,9,4,7,6,7,2,6,3,2,2,2,2,1,1,2,2,1,0,0,1,0,0,0,69,67,63,52,31,28,22,17,13,15,13,8,6,7,4,4,6,3,1,1,2,2,2,2,0,2,1,1,0,1,1,0,1,0,0,0,0,0,0
detailed design,72,71,71,70,69,60,60,57,61,56,57,72,55,50,56,50,51,53,51,48,39,50,42,39,38,38,35,30,43,72,31,38,31,36,25,29,34,28,28,29,28,21,27,33,27,26,31,27,25,28,23,22,17,30,19,14,22,19,16,13,17,13,16,11,12,19,14,15,12,16,13,11,10,16,11,13,9,9,9,7,8,8,7,4,3,4,2,4,3,6,4,5,3,2,3,2,3,2,1,1,2,2,0,1,0,1,1,0,0,0,1,66,44,37,40,32,25,29,23,16,24,14,10,16,14,13,10,14,16,16,16,13,16,9,8,8,9,8,8,6,5,6,5,7,6,5,5,5,5,5,3,4,6,4,4,1,3,4,1,1,1,3,1,2,2,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,66,66,59,52,45,39,40,40,43,29,31,28,24,26,26,18,14,15,18,17,8,10,6,6,6,6,4,5,2,6,4,1,4,2,2,3,3,2,0,2,0,1,0,0,1,0,53,25,24,17,18,12,13,9,8,4,5,5,5,3,4,3,5,2,4,3,2,1,1,0,2,1,1,1,0,1,1,0,67,62,62,57,28,20,19,13,12,14,14,9,7,9,5,4,4,2,1,1,1,3,3,2,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
